sentence,word,string,num_tokens_total,num_tokens_target,num_tokens_disambiguating,mpath,language,multilingual,n_params
It was a lizard scale.,scale,scale,7,1,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a music scale.,scale,scale,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a touching scene.,scene,scene,7,1,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a well-acted scene.,scene,scene,8,1,3,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a nature scene.,scene,scene,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a gold seal.,seal,seal,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a certified seal.,seal,seal,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a circus seal.,seal,seal,8,1,3,google-bert/bert-base-multilingual-cased,english,Yes,177853440
She served a pie.,serve,served,5,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
She served a lasagna.,serve,served,6,1,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
She served a summons.,serve,served,6,1,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
The girl sang.,sing,sang,4,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
The choir sang.,sing,sang,4,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
The bird sang.,sing,sang,4,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He spilled the drink.,spill,spilled,6,2,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He spilled the flour.,spill,spilled,7,2,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He spilled the news.,spill,spilled,6,2,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He staked his horse.,stake,staked,6,2,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He staked his tent.,stake,staked,7,2,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He staked his name.,stake,staked,6,2,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
They stalled the truck.,stall,stalled,6,2,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
They stalled the bus.,stall,stalled,6,2,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
They stalled the horse.,stall,stalled,6,2,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
They stayed wet.,stay,stayed,4,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
They stayed cold.,stay,stayed,4,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
They stayed nearby.,stay,stayed,4,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He tapped the keg.,tap,tapped,7,2,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He tapped the beer.,tap,tapped,6,2,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He tapped the stick.,tap,tapped,6,2,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He used the scotch tape.,tape,tape,8,1,3,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He used the double-sided tape.,tape,tape,9,1,4,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He used the interview tape.,tape,tape,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a winter term.,term,term,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a fall term.,term,term,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a legal term.,term,term,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a clock tick.,tick,tick,7,2,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was an audible tick.,tick,tick,8,2,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a parasitic tick.,tick,tick,8,2,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a generous tip.,tip,tip,7,1,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a stingy tip.,tip,tip,8,1,3,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a pencil tip.,tip,tip,7,1,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
She liked the essay title.,title,title,7,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
She liked the poem title.,title,title,7,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
She liked the academic title.,title,title,7,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
They toasted the bread.,toast,toasted,7,2,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
They toasted the strudel.,toast,toasted,8,2,3,google-bert/bert-base-multilingual-cased,english,Yes,177853440
They toasted the host.,toast,toasted,6,2,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a costly toll.,toll,toll,7,1,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a road toll.,toll,toll,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a loud toll.,toll,toll,7,1,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
She saw the train tracks.,track,tracks,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
She saw the trolley tracks.,track,tracks,7,1,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
She saw the moose tracks.,track,tracks,7,1,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was five yards.,yard,yards,5,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was ten yards.,yard,yards,5,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
They were big yards.,yard,yards,5,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a comedic act.,act,act,7,1,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He had a pending appeal.,appeal,appeal,7,1,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a polluted atmosphere.,atmosphere,atmosphere,7,1,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He bailed out the liquid.,bail,bailed,7,2,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a country band.,band,band,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He banked the cash.,bank,banked,6,2,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
There was a religious barrier.,barrier,barrier,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He saw a baseball bat.,bat,bat,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He saw the balance beam.,beam,beam,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
She had a writer's block.,block,block,8,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He has royal blood.,blood,blood,5,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was the school board.,board,board,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He had a leather-bound book.,book,book,9,1,4,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He broke the promise.,break,broke,5,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
They ate a lonely breakfast.,breakfast,breakfast,10,2,3,google-bert/bert-base-multilingual-cased,english,Yes,177853440
They called the debt.,call,called,5,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was an island cape.,cape,cape,7,2,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a criminal case.,case,case,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
She cast a stone.,cast,cast,5,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a primary cause.,cause,cause,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a jail cell.,cell,cell,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
She had a good-luck charm.,charm,charm,10,2,4,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He checked the facts.,check,checked,6,2,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
They liked the pet chicken.,chicken,chicken,8,2,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a stimulating class.,class,class,8,1,3,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He cleared the road.,clear,cleared,5,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a metal clip.,clip,clip,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
The sink clogged.,clog,clogged,7,3,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a common cold.,cold,cold,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a marble column.,column,column,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He liked the polite company.,company,company,8,1,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a traffic cone.,cone,cone,7,2,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He made a well-written contribution.,contribution,contribution,8,1,3,google-bert/bert-base-multilingual-cased,english,Yes,177853440
That was the correct count.,count,count,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a collision course.,course,course,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He crossed a friend.,cross,crossed,5,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a historical date.,date,date,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was about college degrees.,degree,degrees,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
They liked the architectural design.,design,design,7,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
They liked the anniversary dinner.,dinner,dinner,7,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
They drained the pond.,drain,drained,6,2,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
They drew a picture.,draw,drew,5,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He had a career dream.,dream,dream,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a battery-powered drill.,drill,drill,9,2,3,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a physical examination.,examination,examination,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
They had an enthusiastic fan.,fan,fan,9,1,4,google-bert/bert-base-multilingual-cased,english,Yes,177853440
She had a steel file.,file,file,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a plastic film.,film,film,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
They fixed the price.,fix,fixed,5,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a concrete foundation.,foundation,foundation,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a business function.,function,function,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He was on the parade ground.,ground,ground,7,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
They liked the national guard.,guard,guard,7,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He had a friendly guide.,guide,guide,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
They hailed a guest.,hail,hailed,6,2,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a nursing home.,home,home,7,1,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
They had military intelligence.,intelligence,intelligence,5,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a special issue.,issue,issue,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a paper jam.,jam,jam,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a backspace key.,key,key,7,1,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
They liked the friendly lamb.,lamb,lamb,8,2,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
She lapped the competitors.,lap,lapped,6,2,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
She loaded the van.,load,loaded,5,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
She had door locks.,lock,locks,6,2,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
They liked the women's lunch.,lunch,lunch,10,2,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He liked the stock market.,market,market,7,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a tennis match.,match,match,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was veterinary medicine.,medicine,medicine,7,1,3,google-bert/bert-base-multilingual-cased,english,Yes,177853440
There was a clear message.,message,message,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a clay mold.,mold,mold,7,2,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
She saw the fast mole.,mole,mole,7,2,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He liked the civil-rights movement.,movement,movement,9,1,3,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a shredded newspaper.,newspaper,newspaper,8,1,3,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a reddish orange.,orange,orange,7,1,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He saw the ripped page.,page,page,7,1,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a tree palm.,palm,palm,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a consumer panel.,panel,panel,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a biblical passage.,passage,passage,8,1,3,google-bert/bert-base-multilingual-cased,english,Yes,177853440
She penned her thoughts.,pen,penned,7,2,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a secure perch.,perch,perch,7,2,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He picked his nose.,pick,picked,5,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He saw the plastic pitcher.,pitcher,pitcher,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
She poached the vegetables.,poach,poached,8,2,3,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a sweet port.,port,port,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He was in a yoga position.,position,position,8,1,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a challenging post.,post,post,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He had the quickest punch.,punch,punch,8,2,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
She had a cloudy pupil.,pupil,pupil,7,1,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He pushed the desk.,push,pushed,6,1,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
That was a tennis racket.,racket,racket,7,2,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He liked granite rock.,rock,rock,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
She ran the company.,run,ran,5,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He saw the bushy sage.,sage,sage,8,2,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a major scale.,scale,scale,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a panoramic scene.,scene,scene,8,1,3,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a trained seal.,seal,seal,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
She served a warrant.,serve,served,6,1,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
The cricket sang.,sing,sang,4,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He spilled the secret.,spill,spilled,6,2,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He staked his claim.,stake,staked,6,2,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
They stalled the pig.,stall,stalled,7,2,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
They stayed overnight.,stay,stayed,5,1,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He tapped the drums.,tap,tapped,6,2,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
He used the video tape.,tape,tape,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a technical term.,term,term,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a diseased tick.,tick,tick,8,2,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a finger tip.,tip,tip,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
She liked the professional title.,title,title,7,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
They toasted the bride.,toast,toasted,7,2,2,google-bert/bert-base-multilingual-cased,english,Yes,177853440
It was a bell toll.,toll,toll,6,1,1,google-bert/bert-base-multilingual-cased,english,Yes,177853440
She saw the snowshoe tracks.,track,tracks,8,1,3,google-bert/bert-base-multilingual-cased,english,Yes,177853440
They were cluttered yards.,yard,yards,8,1,4,google-bert/bert-base-multilingual-cased,english,Yes,177853440
